"266","179102","IZTA","ATC","Chalco","Estado de México","9","Torre Nueva","No Asignada","No Asignada"
"79","178752","Alianza Real","ATC","GRAL ESCOBEDO ","Nuevo Leon","4","BTS","Carta de Liberación","Carta de Liberación"
"80","178920","Televisora Juarez","ATC","Ciudad Juarez","Chihuahua","3","BTS","Cancelado","Cancelado"
"75","178733","Enfermeria","ATC","Torreon","Coahuila","3","BTS","Carta de Liberación","Carta de Liberación"
"78","178750","Sukza","ATC",,"Nuevo Leon","4","Torre Nueva","Carta de Liberación","Carta de Liberación"
"39","145567","Gomez Palacio","ATC","Gomez Palacio","Durango","3","Colocación","Carta de Liberación","Carta de Liberación"
"28","141195","Solidaridad","ATC",,,,"Colocación","Carta de Liberación","Carta de Liberación"
"27","140685","GoKarts","ATC","CHIHUAHUA","CHIHUAHUA","3","Colocación","Carta de Liberación","Carta de Liberación"
"72","175853","POP Torreon","ATC",,,,"Colocación","Carta de Liberación","Carta de Liberación"
"48","145906","1509 Torreon","ATC","Torreon","Coahuila","3","Colocación","Carta de Liberación","Carta de Liberación"
"44","145777","2026 Chihuahua","ATC","CHIHUAHUA","Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"32","143603","Praderas","ATC","Hermosillo","Sonora","2","Colocación","Carta de Liberación","Carta de Liberación"
"35","144520","Santo Niño","ATC",,"Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"26","140597","Campestre Virreyes","ATC","Ciudad Juarez","Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"33","143803","Sacramento","ATC","Durango","Durango","3","Colocación","Carta de Liberación","Carta de Liberación"
"42","145746","2010 Chihuahua","ATC","CHIHUAHUA","Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"30","142612","TEC Hermosillo","ATC","Hermosillo","Sonora","2","Colocación","TTV","TTV"
"36","145075","Montecarlo","ATC",,"Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"47","145813","269 Escobedo","ATC","GENERAL ESCOBEDO ","NUEVO LEON ","4","Colocación","Carta de Liberación","Carta de Liberación"
"25","140368","Jazmin","ATC","Monclova","coahuila","4","Colocación","Carta de Liberación","Carta de Liberación"
"49","145922","1517 Torreon","ATC","Coahuila","Coahuila","3","Colocación","Carta de Liberación","Carta de Liberación"
"45","145779","2027 Chihuahua","ATC","CHIHUAHUA","CHIHUAHUA","3","Colocación","Carta de Liberación","Carta de Liberación"
"121","140658","Sacramento","ATC",,,,"Colocación","Carta de Liberación","Carta de Liberación"
"122","145783","2028 chihuahua","ATC","CHIHUAHUA","Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"123","144451","San Carlos","ATC",,"Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"124","141205","Inter","ATC","Durango","Durango","3","Colocación","Carta de Liberación","Carta de Liberación"
"126","142415","Eje 132","ATC","SAN LUIS POTOSI","San Luis","6","Colocación","Carta de Liberación","Carta de Liberación"
"127","143791","Leon","ATC",,"Durango","3","Colocación","Carta de Liberación","Carta de Liberación"
"128","141199","Hilario Moreno","ATC","Durango","Durango","3","Colocación","Carta de Liberación","Carta de Liberación"
"129","146185","Club Hipico","ATC","HERMOSILLO ","Sonora","2","Colocación","Carta de Liberación","Carta de Liberación"
"130","141971","Hacienda de los Morales","ATC","66470 San Nicolás de los Garza","NUEVO LEON ","4","Colocación","Carta de Liberación","Carta de Liberación"
"131","86157","Real del Valle","ATC",,,,"Colocación","Carta de Liberación","Carta de Liberación"
"125","144184","San Jose Hipodromo","ATC",,"Chihuahua","3","Colocación","Carta de Liberación","Carta de Liberación"
"54","147062","El Charro","ATC"," CD JUAREZ","CHIHUAHUA","3","Cambio de Torre","Cotización","Cotización"
"91","85796","NAVA","ATC","Nava","Coahuila","3","Cambio de Torre","Cotización","Cotización"
"187","146287","Montealto","ATC","Altamira","Tamaulipas","4","Cambio de Torre","Cotización","Cotización"
"39","145567","Gomez Palacio","ATC","Gomez Palacio","Durango","3","Reforzamiento","En Cotización","En Cotización"
"70","175845","GTE Puerta del Sol","ATC","Tijuana",,,"Reforzamiento","Cancelado","Cancelado"
"46","145804","1100 Saltillo","ATC","Saltillo","COAHUILA ","4","Reforzamiento","Cancelado","Cancelado"
"6","85921","Pie de la Cuesta","ATC","Guerrero",,,"Reforzamiento","Carta de Liberación","Carta de Liberación"
"12","86521","Pozito","ATC","Queretaro",,,"Reforzamiento","Carta de Liberación","Carta de Liberación"
"38","145523","1222 Aguascalientes","ATC","Aguascalientes","Aguascalientes","6","Reforzamiento","Cancelado","Cancelado"
"53","146868","Industrial Aviacion","ATC","San Luis Potosi",,,"Reforzamiento","Carta de Liberación","Carta de Liberación"
"56","147258","Arcos Quintana","ATC","SANTIAGO DE Queretaro","QUERÉTARO ","6","Reforzamiento","Cancelado","Cancelado"
"58","147265","Los Alamos LI","ATC","Queretaro",,,"Reforzamiento","Carta de Liberación","Carta de Liberación"
"59","147398","Cimatario","ATC","Queretaro","Queretaro","6","Reforzamiento","Carta de Liberación","Carta de Liberación"
"62","147713","Tapatio","ATC","Guanajuato",,,"Reforzamiento","Cancelado","Cancelado"
