67,264,145843_1118 Saltillo Implementación Cambio de torre Folio 12369788 AT&T GPS,115325,14/08/2021,14/08/2021,Admin Admin,101054.14,Cambio de Torre,MXN,41,0,pdf/po_2020/M3PO_115325.pdf,14/08/2021
68,511,179255_SONHRS1469_Crios_Implementaciòn_BTS_AT&T_URGENTE_ELABORACIÒN DE INGENIERIA_GPS_MARZO_21,115230,15/08/2021,15/08/2021,Admin Admin,55000,BTS,MXN,175,0,pdf/po_2020/M3PO_115230.pdf,15/08/2021
69,502,140388 - Termo Electrica - Implementación - AT&T - Reubicación - TTV - GPS - Marzo 21,115191,16/08/2021,16/08/2021,Admin Admin,55000,Cambio de Torre,MXN,174,0,pdf/po_2020/M3PO_115191.pdf,16/08/2021
70,480,179016_AGUAGU2578_ARELLANO_Implementaciòn_BTS_AT&T_URGENTE_ELABORACIÒN DE INGENIERIA_GPS_MARZO_21,115128,17/08/2021,17/08/2021,Admin Admin,55000,BTS,MXN,172,0,pdf/po_2020/M3PO_115128.pdf,17/08/2021
71,304,179063 - Corrugados - Implementación - AT&T - BTS - Estructura torre - GPS - Marzo 21,114871,18/08/2021,18/08/2021,Admin Admin,518971.29,Torre Nueva,MXN,57,0,pdf/po_2020/M3PO_114871.pdf,18/08/2021
72,304,179063 - Corrugados - Implementación - AT&T - BTS - Transporte torre - GPS - Marzo 21,114871,19/08/2021,19/08/2021,Admin Admin,29933,Torre Nueva,MXN,57,0,pdf/po_2020/M3PO_114871.pdf,19/08/2021
73,304,179063 - Corrugados - Implementación - AT&T - BTS - Montaje torre - GPS - Marzo 21,114871,20/08/2021,20/08/2021,Admin Admin,100921,Torre Nueva,MXN,57,0,pdf/po_2020/M3PO_114871.pdf,20/08/2021
74,202,179248 - Mitla - Implementación - AT&T - BTS - Obra civil - GPS - Marzo 21,114785,21/08/2021,21/08/2021,Admin Admin,846934.68,BTS,MXN,10,0,pdf/po_2020/M3PO_114785.pdf,21/08/2021
75,237,179248 - Mitla - Implementación - AT&T - BTS - Estructura torre - GPS - Marzo 21,114785,22/08/2021,22/08/2021,Admin Admin,402313.67,Torre Nueva,MXN,26,0,pdf/po_2020/M3PO_114785.pdf,22/08/2021
76,237,179248 - Mitla - Implementación - AT&T - BTS - Transporte torre - GPS - Marzo 21,114785,23/08/2021,23/08/2021,Admin Admin,22907,Torre Nueva,MXN,26,0,pdf/po_2020/M3PO_114785.pdf,23/08/2021
